label,text,clean_text,len_words,len_chars
0,I'm vivek:)i got call from your number.,vivek got call number,4,21
0,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,cool like swimming pool jacuzzi house,6,37
0,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",forgotten might couple buck send tomorrow k love ya,9,51
0,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop look like ill prob send laptop get fixed cuz gpu problem,13,64
0,I canÃÂt wait for cornwall. Hope tonight isnÃÂt too bad as well but itÃÂs rock night shite. Anyway iÃÂm going for a kip now have a good night. Speak to you soon.,wait cornwall hope tonight bad well rock night shite anyway going kip good night speak soon,16,91
0,Reckon need to be in town by eightish to walk from * carpark.,reckon need town eightish walk carpark,6,38
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack joke gm gn ge gn,24,123
0,Am not interested to do like that.,interested like,2,15
0,Can do lor...,lor,1,3
0,Alex says he's not ok with you not being ok with it,alex say ok ok,4,14
0,Want to finally have lunch today?,want finally lunch today,4,24
0,Ok which your another number,ok another number,3,17
0,Thinkin about someone is all good. No drugs for that,thinkin someone good drug,4,25
0,"K, I might come by tonight then if my class lets out early",k might come tonight class let early,7,36
0,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,thank u better work cause feel used otherwise,8,45
0,Like a personal sized or what,like personal sized,3,19
0,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,pls full name joke school co fee university florida seem actually lt gt k pls holla back,17,88
0,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,lot sickness thing going round take easy hope u feel better soon lol,13,68
0,"Aight, I'll text you when I'm back",aight text back,3,15
0,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,lol right diet everyday cheat anyway meant fatty,8,48
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ÃÂ£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701851 claim code k61 valid 12hours,17,111
1,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,freemsg record indicate may entitled 3750 pound accident claim free reply yes msg opt text stop,16,95
1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,private 2003 account statement show 800 un redeemed point call 08719899230 identifier code 41685 expires 07 11 04,18,113
1,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello orange 1 month free access game news sport plus 10 free text 20 photo message reply yes term apply,20,104
1,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,loan purpose even bad credit tenant welcome call noworriesloans com 08717111821,11,79
1,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 orange user today lucky day 2find log onto fantastic surprise awaiting,14,94
1,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",bored speed dating try speedchat txt speedchat 80155 like em txt swap get new chatter chat80155 pobox36504w45wq 150p msg rcd 16,21,127
1,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,max6 month csc web age16 2stop txt stop,8,39
1,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec ÃÂ£1.50ea. OTBox 731 LA1 7WS. )",want cock hubby away need real man 2 satisfy txt wife 89938 string action txt stop 2 end txt rec 1 50ea otbox 731 la1 7ws,26,121
1,URGENT! We are trying to contact U. Todays draw shows that you have won a ÃÂ£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent trying contact u today draw show 800 prize guaranteed call 09050001808 land line claim m95 valid12hrs,17,108
1,Reply to win ÃÂ£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,reply win 100 weekly 2006 fifa world cup held send stop 87239 end service,14,73
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ÃÂ£1000 cash or ÃÂ£5000 prize!,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize,16,108
1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optout n9dx,18,128
1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,private 2003 account statement show 800 un redeemed point call 08715203694 identifier code 40533 expires 31 10 04,18,113
1,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY ÃÂ£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",new mobile 2004 must go txt nokia 89545 collect today 1 2optout 087187262701 50gbp mtmsg18 txtauction,16,101
1,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,private 2003 account statement 07815296484 show 800 un redeemed point call 08718738001 identifier code 41782 expires 18 11 04,19,125
